KTPU0000000001,na,nb,la,ob,eh
KTPU0000000002,so,om,ms,sp,sh
KTPU0000000003,cm,co,cn,dr,dm
KTPU0000000004,fr,gs,ck,fs,cl
KTPU0000000005,jc,mj,bh,jb,hb
KTPU0000000006,bj,ef,ek,bi,ed
KTPU0000000007,qi,oi,qj,kk,oj
KTPU0000000008,jp,cc,cq,cn,lc
KTPU0000000009,ln,lm,pl,kn,qp
KTPU0000000010,hj,ih,hg,jf,gk
KTPU0000000011,oh,qh,rg,od,ng
KTPU0000000012,ie,jf,if,gg,id
KTPU0000000013,kj,jk,ji,kl,nk
KTPU0000000014,lc,ld,ke,bb,mo
KTPU0000000015,pe,pc,qb,nb,qi
KTPU0000000016,jo,jn,io,ik,jq
KTPU0000000017,od,ob,rb,ph,of
KTPU0000000018,fl,gl,gm,fh,ie
KTPU0000000019,jc,jd,ne,kc,kd
KTPU0000000020,nr,os,mr,rs,qo
KTPU0000000021,md,kd,oc,mc,ob
KTPU0000000022,dl,cn,go,dn,el
KTPU0000000023,ks,iq,js,ll,ip
KTPU0000000024,co,cl,fq,dn,gq
KTPU0000000025,fi,bl,ek,dl,cg
KTPU0000000026,dh,di,gk,dl,gj
KTPU0000000027,qf,qe,pe,pg,oe
KTPU0000000028,eb,dg,cg,fe,ic
KTPU0000000029,og,qk,pi,qf,oh
KTPU0000000030,dn,ag,an,am,gk
KTPU0000000031,kq,jp,qm,kp,jq
KTPU0000000032,pi,rh,pf,rg,qf
KTPU0000000033,dr,fo,fp,bo,co
KTPU0000000034,ei,eh,ih,hg,dj
KTPU0000000035,qg,qn,eq,qf,cf
KTPU0000000036,ea,na,fd,ij,nk
KTPU0000000037,eo,fk,bd,if,ad
KTPU0000000038,kn,gm,fn,jn,hm
KTPU0000000039,go,lr,em,bp,jo
KTPU0000000040,he,kc,gf,jf,hf
KTPU0000000041,le,ib,jf,cd,ed
KTPU0000000042,ik,ip,nm,is,mj
KTPU0000000043,fg,gg,hf,fi,eg
KTPU0000000044,gr,gm,hn,fm,em
KTPU0000000045,mj,mk,ni,nh,po
KTPU0000000046,gb,gc,ge,hb,hc
